наименование,зарплата,опыт,требуемые навыки,ссылка
Швея-портной,"{'from': 40000, 'to': 40000}",От 3 до 6 лет,"Наличие швейного образования. Опыт работы швеёй не менее 5 лет по ремонту одежды и различного текстиля. Аккуратность, доброжелательность.",https://hh.ru/vacancy/79988369
Швея-закройщик (мебель),"{'from': 90000, 'to': None}",От 3 до 6 лет,опыт работы в производстве/перетяжек мягкой мебели от 3 лет. - обладать навыками по раскройке. - желание работать и зарабатывать. - ,https://hh.ru/vacancy/79918591
Швея универсал,"{'from': 50000, 'to': None}",От 3 до 6 лет,"Опыт работы. Аккуратность, ответственность, готовность работать на результат.",https://hh.ru/vacancy/80000973
Швея-портной на бельевое производство,"{'from': 60000, 'to': 80000}",Более 6 лет,"Опыт работы по специальности (дома моды, ателье премиум класса) от 3 лет. Самозакрой и отшив образцов женской одежды премиального сегмента. ",https://hh.ru/vacancy/80005476
Швея по работе с кожей,,От 3 до 6 лет,Знание специфики работы с кожей.,https://hh.ru/vacancy/80199594
Швея-портной в Дом Моды,"{'from': 80000, 'to': 100000}",Более 6 лет,"Аккуратность. - Ответственность, добросовестность, внимательность, исполнительность. - Знание технологий, методов и приёмов пошива. Если у Вас не так много опыта, но Вы...",https://hh.ru/vacancy/79658420
Швея-портной в свадебный салон,"{'from': 80000, 'to': 160000}",От 1 года до 3 лет,Опыт работы со свадебными/вечерними платьями. Умение общаться с клиентом. Внимательность. Аккуратность.,https://hh.ru/vacancy/79942739
Швея-портной,"{'from': 70000, 'to': 80000}",Более 6 лет,Высокие требования к соискателям.Большой опыт работы.Качество и скорость. Обязанности:Индивидуальный пошив женской одежды высокого качества и сложности. Работа с тканями...,https://hh.ru/vacancy/79229948
Швея,"{'from': 50000, 'to': None}",От 1 года до 3 лет,Опыт работы на производстве от 1 года.,https://hh.ru/vacancy/79730112
Швея-портной,"{'from': 90000, 'to': 120000}",От 1 года до 3 лет,"опыт работы на швейном производстве от года. - знания швейного оборудования. - личные качества: внимательность, ответственность, аккуратность.",https://hh.ru/vacancy/79537405
